RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
19 Απριλίου 2022 ΤΕΥΧΟΣ   ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 60005 Τροποποίηση του Εσωτερικού Κανονισμού Λει-τουργίας του Κέντρου Επιμόρφωσης και Διά Βίου Μάθησης (Κ.Ε.ΔΙ.ΒΙ.Μ.) του Αριστοτελείου Πανε-πιστημίου Θεσσαλονίκης.  Η ΣΥΓΚΛΗΤΟΣ ΤΟΥ ΑΡΙΣΤΟΤΕΛΕΙΟΥ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ  Έχοντας υπόψη:,Non-RespA
1. Τις διατάξεις του άρθρου 48 «Κέντρο Επιμόρφωσης και Δια Βίου Μάθησης» του ν. 4485/2017 «Οργάνωση και λειτουργία της ανώτατης εκπαίδευσης ρυθμίσεις για την έρευνα και άλλες» (Α’114).,Non-RespA
2. Τις διατάξεις του άρθρου 13 του ν. 4485/2017 (Α’ 114) περί αρμοδιοτήτων της Συγκλήτου.,Non-RespA
3. Την υπό στοιχεία 229718/Ζ1/29-12-2017 (Β’ 4/2018) υπουργική απόφαση για την ίδρυση Κέντρου Επιμόρφω-σης και Δια Βίου Μάθησης (ΚΕ.ΔΙ.ΒΙ.Μ.) στο ΑΠΘ.,Non-RespA
4. Την υπ. αρ. 26197/18-11-2021 (συνεδρίαση με αριθ-μό 3086/10-11-2021) απόφαση της Συγκλήτου για τη Συγκρότηση του Συμβουλίου του Κέντρου Επιμόρφωσης και Διά Βίου Μάθησης (ΚΕ.ΔΙ.ΒΙ.Μ.) του Α.Π.Θ.,Non-RespA
