RawParagraph,RespAPrediction
ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 170405/ΓΓ1,Non-RespA
Καθορισμός των ειδικότερων καθηκόντων και αρμοδιοτήτων των Διευθυντών Εκπαίδευσης.,Non-RespA
Η ΥΠΟΥΡΓΟΣ ΚΑΙ Η ΥΦΥΠΟΥΡΓΟΣ ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ,Non-RespA
Έχοντας υπόψη:,Non-RespA
"1. Τις διατάξεις του ν. 4823/2021 «Αναβάθμιση του σχολείου, ενδυνάμωση των εκπαιδευτικών και άλλες διατάξεις» (Α’ 136) και ιδιαίτερα του εδ. α της παρ. 1 του άρθρου 29.",Non-RespA
2. Τις διατάξεις του ν. 1566/1985 «Δομή και λειτουργία της πρωτοβάθμιας και δευτεροβάθμιας εκπαίδευσης και άλλες διατάξεις» (Α’ 167).,Non-RespA
"3. Τις διατάξεις του ν. 4763/2020 «Εθνικό Σύστημα Επαγγελματικής Εκπαίδευσης, Κατάρτισης και Διά Βίου Μάθησης, ενσωμάτωση στην ελληνική νομοθεσία της Οδηγίας (ΕΕ) 2018/958 του Ευρωπαϊκού Κοινοβουλί- ου και του Συμβουλίου της 28ης Ιουνίου 2018 σχετικά με τον έλεγχο αναλογικότητας πριν από τη θέσπιση νέας νομοθετικής κατοχύρωσης των επαγγελμάτων (EE L 173), κύρωση της Συμφωνίας μεταξύ της Κυβέρ- νησης της Ελληνικής Δημοκρατίας και της Κυβέρνησης της Ομοσπονδιακής Δημοκρατίας της Γερμανίας για το Ελληνογερμανικό Ίδρυμα Νεολαίας και άλλες διατάξεις» (Α’ 254).",Non-RespA
4. Τις διατάξεις του π.δ. 79/2017 «Οργάνωση και λει- τουργία νηπιαγωγείων και δημοτικών σχολειών» (Α’ 109 και διόρθ. σφάλμ. Α’ 112).,Non-RespA
"5. (i)Το π.δ. 18/2018 «Οργανισμός Υπουργείου Παιδεί-ας, Έρευνας και Θρησκευμάτων» (Α΄ 31). (ii) Το π.δ. 81/2019 «Σύσταση, συγχώνευση, μετονο-μασία και κατάργηση Υπουργείων και καθορισμός των αρμοδιοτήτων τους - Μεταφορά υπηρεσιών και αρμο-διοτήτων μεταξύ Υπουργείων» (Α΄ 119). (iii) Το π.δ. 83/2019 «Διορισμός Αντιπροέδρου της Κυβέρνησης, Υπουργών, Αναπληρωτών Υπουργών και Υφυπουργών» (Α΄ 121). (iv) Το π.δ. 84/2019 «Σύσταση και κατάργηση Γενικών Γραμματειών και Ειδικών Γραμματειών/Ενιαίων Διοικη-τικών Τομέων Υπουργείων» (Α΄ 123). (v) To π.δ. 2/2021 «Διορισμός Υπουργών, Αναπληρω-τών Υπουργών και Υφυπουργών» (Α’ 2).(vi) Την υπό στοιχεία 168/Υ1/8.1.2021 κοινή απόφαση Πρωθυπουργού και Υπουργού Παιδείας και Θρησκευμά- των «Ανάθεση αρμοδιοτήτων στην Υφυπουργό Παιδείας και Θρησκευμάτων, Ζωή Μακρή» (Β’ 33).",Non-RespA
"6. Την υπό στοιχεία Φ.1/Γ/848/169249/Β1/24.12.2021 εισήγηση του άρθρου 24 του ν. 4270/2014 (Α’ 143) της Γενικής Διεύθυνσης Οικονομικών Υπηρεσιών του Υπουργείου Παιδείας και Θρησκευμάτων (Υ.ΠΑΙ.Θ.) ότι δεν προκαλείται δαπάνη από την έκδοση της παρούσης, αποφασίζουμε:",Non-RespA
Άρθρο 1,Non-RespA
Έργο των Διευθυντών Εκπαίδευσης,Non-RespA
