RawParagraph,RespAPrediction
ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 63252,Non-RespA
Έχοντας υπόψη:,Non-RespA
Έγκριση τροποποίησης του Οργανισμού Εσω- τερικής Υπηρεσίας του Δημοτικού Οργανισμού Πρόνοιας Ρόδου (Δ.Ο.Π. Ρόδου).,Non-RespA
Ο ΣΥΝΤΟΝΙΣΤΗΣ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ ΑΙΓΑΙΟΥ,Non-RespA
1. Το άρθρο 280 και την παρ. 4 του άρθρου 283 του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοίκησης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικρά- της» (Α΄ 87).,Non-RespA
2. Τα άρθρα 28 και 28Α του ν. 4325/2015 «Εκδημοκρα- τισμός της Διοίκησης - Καταπολέμηση Γραφειοκρατίας και Ηλεκτρονική Διακυβέρνηση. Αποκατάσταση αδικιών και άλλες διατάξεις» (Α΄ 47).,Non-RespA
3. Το άρθρο 10 του ν. 3584/2007 «Κύρωση του Κώδι- κα Κατάστασης Δημοτικών και Κοινοτικών Υπαλλήλων» (Α΄ 143).,Non-RespA
4. Την παρ. 2 του άρθρου 234 του ν. 3463/2006 «Κύρω- ση του Κώδικα Δήμων και Κοινοτήτων» (Α΄ 114).,Non-RespA
5. Την παρ. 3 του άρθρου 90 του π.δ. 63/2005 «Κω- δικοποίηση της νομοθεσίας για την Κυβέρνηση και τα κυβερνητικά όργανα που αφορούν στον έλεγχο των δαπανών που προκαλούν οι κανονιστικές διοικητικές πράξεις» (Α΄ 98).,Non-RespA
6. Το π.δ. 143/2010 «Οργανισμός Αποκεντρωμένης Διοίκησης Αιγαίου» (Α΄ 236).,Non-RespA
"7. Την υπ’ αρ. 78161/31.12.2018 (Υ.Ο.Δ.Δ. 783) από- φαση του Υπουργού Εσωτερικών, με την οποία ο Πολύ- καρπος Πολυχρονάκης, Αν. Προϊστάμενος της Γενικής Διεύθυνσης Χωροταξικής και Περιβαλλοντικής Πολιτι- κής, ορίζεται να ασκεί καθήκοντα Συντονιστή Αποκε- ντρωμένης Διοίκησης Αιγαίου.",Non-RespA
"8. Την υπ’ αρ. 12473/28.07.1989 απόφαση του Νομάρ- χη Δωδεκανήσου με την οποία τροποποιήθηκε και προ- σαρμόστηκε ο Οργανισμός Εσωτερικής Υπηρεσίας του Δημοτικού Οργανισμού Πρόνοιας Δήμου Ρόδου Ν. Δω-δεκανήσου στις διατάξεις του ν. 1586/1986 (Β΄ 622) και τροποποιήθηκε με τις υπό στοιχεία ΔΕ 6989/12.05.1993 απόφαση του Νομάρχη Δωδεκανήσου (Β΄ 407), αριθ. οικ.10518/22.09.2003 απόφαση της Γενικής Γραμματέας Περιφέρειας Νοτίου Αιγαίου (Β΄ 1532) και υπό στοιχεία αριθ. οικ.ΤΤ 14173/12.10.2009 απόφαση του Γενικού Γραμματέα Περιφέρειας Νοτίου Αιγαίου (Β΄ 2477).",Non-RespA
"9. Την υπ’ αρ. 1860/16.01.2014 (Β΄ 232) απόφαση της Γενικής Γραμματέας Αποκεντρωμένης Διοίκησης Αιγαί-ου, με την οποία εγκρίθηκε η τροποποίηση του Οργα-νισμού Εσωτερικής Υπηρεσίας του Δημοτικού Οργανι-σμού Πρόνοιας Ρόδου (Δ.Ο.Π.).",Non-RespA
"10. Το υπ΄ αρ. 26109/05.06.2018 έγγραφο του Υπουρ- γείου Εσωτερικών, για την εφαρμογή προβαδίσματος κατηγοριών κατά την επιλογή προϊσταμένων σε θέσεις ευθύνης των ΟΤΑ α’ και β’ βαθμού.",Non-RespA
"11. Την υπ’ αρ. 78/11.12.2020 απόφαση (σε ορθή επα- νάληψη) του Διοικητικού Συμβουλίου του Δημοτικού Οργανισμού Πρόνοιας Ρόδου (Δ.Ο.Π.), με την οποία τρο- ποποιήθηκε ο Οργανισμός Εσωτερικής Υπηρεσίας του ως άνω δημοτικού ιδρύματος.",Non-RespA
"12. Την υπ’ αρ. 14/26.01.2021 απόφαση του Δημοτικού Συμβουλίου του Δήμου Ρόδου, περί παροχής σύμφωνης γνώμης του παραπάνω συλλογικού οργάνου, αναφορικά με την τροποποίηση του Οργανισμού Εσωτερικής Υπη- ρεσίας του Δ.Ο.Π. Ρόδου.",Non-RespA
"13. Τη γνωμοδότηση του Υπηρεσιακού Συμβουλίου Υπαλλήλων Ο.Τ.Α. α’ βαθμού Νομού Δωδεκανήσου, όπως διατυπώθηκε στο υπ’ αρ. 1/19.02.2021 πρακτικό του.",Non-RespA
"14. Την 2857/29.12.2021 βεβαίωση του Δημοτικού Οργανισμού Πρόνοιας Ρόδου (Δ.Ο.Π.), αποφασίζουμε: Εγκρίνουμε την υπ’ αρ. 78/2020 απόφαση (σε ορθή επανάληψη) του Διοικητικού Συμβουλίου του Δημοτικού Οργανισμού Πρόνοιας Ρόδου (Δ.Ο.Π.), αναφορικά με την τροποποίηση του Οργανισμού Εσωτερικής Υπηρεσίας του δημοτικού ιδρύματος, ο οποίος διαμορφώνεται ως εξής:",Non-RespA
ΟΡΓΑΝΟΓΡΑΜΜΑ ΤΩΝ ΥΠΗΡΕΣΙΩΝ ΤΟΥ Ο.Ε.Υ.,Non-RespA
Άρθρο 1,Non-RespA
"Α. ΠΡΟΕΔΡΟΣ Α1 - Γραφείο Προέδρου Α2 - Γραφείο Νομικών Υποθέσεων Α3 - Γραφείο Προγραμματισμού, Οργάνωσης και Εσω-τερικού Ελέγχου",Non-RespA
Β. ΔΙΕΥΘΥΝΣΗ,Non-RespA
Η Διεύθυνση περιλαμβάνει τα παρακάτω τμήματα και γραφεία:,Non-RespA
Γραφείο Διευθυντού,Non-RespA
Β1. Τμήμα Διοικητικών και Οικονομικών Υπηρεσιών - Γραφείο Διοικητικού που περιλαμβάνει Γραμματεία-Πρωτόκολλο - Διεκπεραίωση αλληλογραφίας - Αρχείο - Γραφείο Προσωπικού - Γραφείο Διοικητικού Συμβουλίου - Γραφείο Μισθοδοσίας- Γραφείο Οικονομικού - Γραφείο Λογιστηρίου - Γραφείο Προμηθειών διαχείρισης υλικών και Αποθήκης Β2. Τμήμα Ταμείου Β3. Τμήμα Κοινωνικών Υπηρεσιών Β4. Τμήμα Υγειονομικών Υπηρεσιών Β5. Τμήμα Προσχολικής Αγωγής Β6. Τμήμα Κέντρου Παροχής Συμβουλευτικών Υπη-ρεσιών σε παιδιά και εφήβους με ψυχοκοινωνικά προ-βλήματα,Non-RespA
Άρθρο 2,Non-RespA
"Οι αρμοδιότητες, το αντικείμενο εργασίας και απασχό-λησης της Διεύθυνσης, των Τμημάτων και Γραφείων που αναφέρονται στο άρθρο 2, έχουν ως εξής:",Non-RespA
Α. ΠΡΟΕΔΡΟΣ Α1. Γραφείο Προέδρου Το Γραφείο Προέδρου ασχολείται με τα παρακάτω θέματα:,Non-RespA
α) Αναλαμβάνει την διεξαγωγή κάθε υπηρεσίας που αναθέτει ο Πρόεδρος και ο Αντιπρόεδρος και η οποία δεν ανήκει στην αρμοδιότητα άλλου τμήματος ή γραφείου. Τηρεί βιβλίο συναντήσεων του Προέδρου και του - της Αντιπροέδρου και τους ενημερώνει για τα θέματα που θα συζητηθούν.,RespA
"β) Παρέχει στα MME ενημερωτικό υλικό, δελτία τύπου κ.λπ. για τις δραστηριότητες του Οργανισμού.",RespA
"γ) Οργανώνει συνεντεύξεις τύπου, παρακολουθεί τον ημερήσιο τύπο και δίδει τις σχετικές απαντήσεις σε σχό-λια των MME.",RespA
δ) Προβάλει τις δραστηριότητες του Δ.Ο.Π.,RespA
"ε) Κάνει επαφές με άλλους Δήμους, φορείς, ιδρύματα, οργανώσεις κ.λπ.",RespA
στ) Σε συνεργασία με το Τμήμα Κοινωνικών Υπηρεσιών προωθεί την ενημέρωση των κατοίκων στα προγράμ- ματα του Δ.Ο.Π.,RespA
Α2. Γραφείο Νομικών Υποθέσεων Έχει διοικητική εξάρτηση μόνον από τον Πρόεδρο και σε περίπτωση απουσίας του από τον νόμιμο αναπλη-ρωτή του.,RespA
"Παρέχει προς τον Πρόεδρο, τα μέλη του Δ.Σ. και τον-την Διευθυντή κάθε ζητούμενη γνώμη και συμβουλή για κάθε θέμα που αναφέρεται στις αρμοδιότητες του Οργανισμού και χειρίζεται όλες τις δικαστικές υποθέσεις.
",RespA
"Τηρεί αρχείο θεμάτων, υποθέσεων και διατάξεων, τα στοιχεία των οποίων παρέχει στην υπηρεσία.",RespA
"Η συγκεκριμένη θέση αφορά Δικηγόρο με έμμισθη εντολή και το αντικείμενο απασχόλησης του θα είναι η παροχή υπηρεσιών νομικού συμβούλου και πληρεξουσί- ου δικηγόρου. Η πρόσληψη του θα διενεργείται σύμφω- να με τις διατάξεις του άρθρου 11 του ν. 1649/1986 (Α΄ 149), όπως τροποποιήθηκε με το άρθρο 18 του ν. 1868/ 1989 (Α΄ 230) και, όπως οι εκάστοτε διατάξεις ορίζουν.",RespA
"Α3. Γραφείο Προγραμματισμού, Οργάνωσης και Εσω-τερικού Ελέγχου",Non-RespA
"- Παρακολουθεί τα τοπικά, ευρωπαϊκά, ΕΣΠΑ κ.α. προ- γράμματα που αφορούν την κοινωνική πολιτική μέσω των οποίων ο Οργανισμός μπορεί να αντλήσει έσοδα.",RespA
Παρακολουθεί την εσωτερική οργάνωση και την απα- σχόληση και εισηγείται στον Πρόεδρο προτάσεις για βελ- τίωση της λειτουργίας του Οργανισμού και συνεργάζεται για την υλοποίησή τους με τα υπόλοιπα τμήματα του Οργανισμού.,RespA
"Η αποστολή του εσωτερικού έλεγχου είναι να ενισχύ- σει και να προστατέψει την αξία του Οργανισμού μέσω της παροχής αντικειμενικής διασφάλισης, συμβουλών και πληροφόρησης βάσει αξιολόγησης των κινδύνων που απειλούν τον Οργανισμό.",RespA
"Ο εσωτερικός έλεγχος βοηθά στην εκπλήρωση των στόχων του μέσα μιας συστηματικής πειθαρχημένης προσέγγισης για την αξιολόγηση και τη βελτίωση της αποτελεσματικότητας των διαδικασιών διαχείρισης του κινδύνου, ελέγχου και διακυβέρνησης.",RespA
"Οι υπηρεσίες που παρέχει ο εσωτερικός έλεγχος τυπι-κά βασίζονται στις ανάγκες του Οργανισμού, στο πεδίο εφαρμογής, στις αρμοδιότητες και στην επιχειρησιακή ικανότητα της μονάδας εσωτερικού ελέγχου.",RespA
"Οι υπηρεσίες περιλαμβάνουν την παροχή διασφάλισης και δραστηριότητες που σχετίζονται με την παροχή συμ- βουλών προς τη διοίκηση και ελέγχους συμμόρφωσης με το θεσμικό πλαίσιο, ελέγχους συστημάτων, διαδικα- σιών, λειτουργιών, απόδοσης, οικονομικής αποδοτικό- τητας, των τεχνολογιών πληροφορίας, των οικονομικών συστημάτων και αναφορών.",RespA
"Ο υπάλληλος που θα ασκεί τον εσωτερικό έλεγχο πρέ- πει να διαθέτει τις γνώσεις, τις δεξιότητες και τις λοιπές ικανότητες που απαιτούνται για την εκπλήρωση των ατομικών καθηκόντων του.",RespA
Β. ΔΙΕΥΘΥΝΣΗ ΥΠΗΡΕΣΙΑΣ,Non-RespA
Γραφείο Διευθυντού-ντριας,Non-RespA
