RawParagraph,RespAPrediction
"Ορισμός αποφαινόμενου οργάνου, διατάκτη
και μεταβίβαση εξουσίας υπογραφής «Με εντο-
λή Υπουργού» στον Γενικό Γραμματέα Υποδομών
του Υπουργείου Υποδομών και Μεταφορών κατά
την παρ. 6 του άρθρου 13 και τις παρ. 2 και 3 του
άρθρου 37 του ν. 4622/2019 (Α’ 133).",Non-RespA
Ο ΥΠΟΥΡΓΟΣ ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1) τις διατάξεις:,Non-RespA
"α) των άρθρων 13, 35, 36, 37, 38, της περ. ζ’ της παρ. 2 του άρθρου 41, της παρ. 3 του άρθρου 44 και της παρ. 9 του άρθρου 116 του ν. 4622/2019 (Α’ 133), του άρθρου 116 του ν. 4622/2019 (Α’ 133),",Non-RespA
"β) του άρθρου 9 του ν. 2690/1999 «Κώδικας Διοικητικής Διαδικασίας» (Α’ 45),",Non-RespA
"γ) του ν. 4270/2014 «Αρχές δημοσιονομικής διαχείρισης και εποπτείας (ενσωμάτωση της Οδηγίας 2011/85/ΕΕ) - δημόσιο λογιστικό και άλλες διατάξεις.» (Α’ 143),",Non-RespA
"δ) του άρθρου 8 του ν. 4242/2014 «Ενιαίος Φορέας Εξω-στρέφειας και άλλες διατάξεις» (Α’ 50), της υπό στοιχεία Δ16α/04/773/29-11-1990 κοινής απόφασης του Υπουρ-γού Προεδρίας και του Αναπληρωτή Υπουργού ΠΕ.ΧΩ.Δ.Ε. «Περί εξαιρέσεως Διοικητικών πράξεων ή εγγράφων από τον κανόνα των τριών υπογραφών» (Β’ 746),",Non-RespA
"ε) τις διατάξεις του ν. 4412/2016 για τις «Δημόσιες Συμ-βάσεις Έργων, Προμηθειών και Υπηρεσιών (προσαρμογή στις Οδηγίες 2014/24/ΕΕ και 2014/25/ΕΕ)» (Α’ 147),βάσεις Έργων, Προμηθειών και Υπηρεσιών (προσαρμογή στις Οδηγίες 2014/24/ΕΕ και 2014/25/ΕΕ)» (Α’ 147),",Non-RespA
"στ) του άρθρου 90 του Κώδικα Νομοθεσίας για την Κυ-βέρνηση και τα κυβερνητικά όργανα, ο οποίος κυρώθηκε με το άρθρο πρώτο του π.δ. 63/2005 «Κωδικοποίηση της Νομοθεσίας για την Κυβέρνηση και τα κυβερνητικά όρ-γανα» (Α’ 98), που διατηρήθηκε σε ισχύ σύμφωνα με την παράγραφο 22 του άρθρου 119 του ν. 4622/2019,",Non-RespA
"ζ) του π.δ. 123/2017 «Οργανισμός του Υπουργείου παράγραφο 22 του άρθρου 119 του ν. 4622/2019, παράγραφο 22 του άρθρου 119 του ν. 4622/2019, Υπουργών, Αναπληρωτών Υπουργών και Υφυπουργών» (Α’ 121 και Α’ 126 διορθώσεις σφαλμάτων),",Non-RespA
"η) του π.δ. 56/2021 «Διορισμός Υπουργού και Υφυπουρ-γών» (Α’ 142),",Non-RespA
"θ) της υπ’ αρ. 2585/1-7-2020 απόφασης του Υπουρ-
γού Υποδομών και Μεταφορών (Β’ 3089) «Περί Ορισμού
Αποφαινόμενου Οργάνου και Διατάκτη. Μεταβίβαση της
εξουσίας υπογραφής ’’Με εντολή Υπουργού’’ στον Γενικό
Γραμματέα Υποδομών του Υπουργείου Υποδομών και
Μεταφορών κατά την παρ. 6 του άρθρου 13 και των παρ. 2
και 3 του άρθρου 37 του ν. 4622/2019 (Α’ 133), όπως τρο-
ποποιήθηκε με την υπ’ αρ. 6995617-3-2021 απόφαση του
Υπουργού Υποδομών και Μεταφορών» (Β’ 1297).",Non-RespA
"2) Το γεγονός ότι από την παρούσα απόφαση δεν προ-
καλείται δαπάνη σε βάρος του κρατικού προϋπολογισμού.",Non-RespA
"3) Την ανάγκη διασφάλισης της εύρυθμης και απο-
δοτικής λειτουργίας των Υπηρεσιών που ανήκουν στο
Υπουργείο Υποδομών και Μεταφορών, καθώς και της
ταχείας διεκπεραίωσης των υποθέσεων αρμοδιότητάς
τους, αποφασίζουμε:",Non-RespA
Άρθρο 1,Non-RespA
"1. Ο Υπουργός ορίζει τον ίδιο ως αποφαινόμενο όρ-
γανο της παρ. 2 του άρθρου 37 του ν. 4622/2019 και ως
διατάκτη της παρ. 3 του άρθρου 37 του ν. 4622/2019, για
δημόσιες συμβάσεις έργων, μελετών, προμηθειών και
υπηρεσιών του ν. 4412/2016 με εκτιμώμενη αξία σύμ-
βασης άνω των είκοσι χιλιάδων (20.000) ευρώ.",Non-RespA
"2. Με την παρούσα μεταβιβάζεται στον εκάστοτε Γε-
νικό Γραμματέα Υποδομών η εξουσία υπογραφής διοι-
κητικών πράξεων «Με εντολή Υπουργού», ως ορίζεται
ειδικότερα στα επόμενα άρθρα.",Non-RespA
Άρθρο 2,Non-RespA
Αρμοδιότητες Αναθέτουσας,Non-RespA
"Αρχής και Προϊσταμένης Αρχής σε
συμβάσεις έργων στον Γενικό
Γραμματέα Υποδομών",Non-RespA
"1. Από το σύνολο των αρμοδιοτήτων του Υπουργού
Υποδομών και Μεταφορών ως Αναθέτουσας Αρχής,
Προϊσταμένης Αρχής και αποφαινόμενου οργάνου στη
διαδικασία σύναψης συμβάσεων έργων, κατά τον ν.
4412/2016 και από το ποσό άνω των είκοσι χιλιάδων
(20.000,00) ευρώ μέχρι του ποσού των τριών εκατομ-
μυρίων (3.000.000) ευρώ χωρίς ΦΠΑ, μεταβιβάζεται η
εξουσία υπογραφής «Με εντολή Υπουργού» στον Γενικό
Γραμματέα Υποδομών, διατηρούμενης σε κάθε περίπτω-
ση της δυνατότητας του Υπουργού να ασκεί συντρεχό-
ντως τις αρμοδιότητες αυτές και ενδεικτικά για:",Non-RespA
"α. Την έγκριση παράτασης προθεσμίας υποβολής των
προσφορών, κατά την παρ. 3 του άρθρου 60.",RespA
"β. Την έκδοση απόφασης έγκρισης του αποτελέσματος
της διαδικασίας, κατά την περ. ε της παρ. 1 του άρθρου
98 στον, κατά το άρθρο 103, «προσωρινό ανάδοχο».",RespA
"γ. Την έκδοση απόφασης κατακύρωσης της σύμβασης,
κατά το άρθρο 105.",RespA
"δ. Την έκδοση απόφασης ματαίωσης, μερικής ακύρω-
σης, επανάληψης της διαδικασίας σύναψης σύμβασης,
αναμόρφωσης του αποτελέσματος, κατά το άρθρο 106.",RespA
"ε. Την αρμοδιότητα έγκρισης σύναψης συμβάσεων,
οι οποίες αφορούν ενέργειες τεχνικής βοήθειας, κατά
το άρθρο 119.",RespA
"στ. Την έκδοση απόφασης κατάπτωσης εγγύησης συμ-
μετοχής, κατά την παρ. 2 του άρθρου 72, στη διαδικασία
σύναψης συμβάσεων δημοσίων έργων από τις Υπηρεσί-
ες που υπάγονται στην ευθύνη τους.",RespA
"ζ. Την επιλογή της διαδικασίας σύναψης της σύμβασης,
κατά το άρθρο 26 και των κριτηρίων ανάθεσης, κατά το
άρθρο 86.",RespA
"η. Την σύναψη σύμβασης στο πλαίσιο δυναμικού συ-
στήματος αγορών, κατά το άρθρο 33.",RespA
"θ. Την διεξαγωγή ηλεκτρονικού πλειστηριασμού, κατά
το άρθρο 34.",RespA
"ι. Την σύναψη συμφωνίας - πλαίσιο, κατά το άρθρο 39.",RespA
"ια. Την διαδικασία σύναψης σύμβασης έργου με αξιο-
λόγηση μελέτης, κατά το άρθρο 50.",RespA
"ιβ. Την σύναψη δημόσιας σύμβασης για την εκτέλεση
του συνόλου ή μέρους των πρόδρομων εργασιών ενός
δημοσίου έργου, ως αυτοτελούς έργου, το οποίο είναι
ανεξάρτητο από το κυρίως έργο και δεν αποτελεί τμήμα
αυτού, κατά την περ. (β) της παρ. 2 του άρθρου 49.",RespA
"ιγ. Την διενέργεια διαδικασίας σύναψης σύμβασης
παροχής τεχνικών και λοιπών συναφών επιστημονικών
υπηρεσιών κατά τη φάση της κατασκευής, κατά το άρ-
θρο 52, μετά από σύμφωνη γνώμη του Τεχνικού Συμ-
βουλίου.",RespA
"ιδ. Την δυνατότητα ή απαίτηση για υποβολή εναλλα-κτικών προσφορών, κατά το άρθρο 57.",RespA
"ιε. Την Διακήρυξη και των λοιπών εγγράφων της σύμ-βασης, κατά το άρθρο 53.",RespA
"ιστ. Την σύντμηση της ελάχιστης προθεσμίας παρα-λαβής προσφορών στην ανοικτή διαδικασία, κατά τηνπαρ. 3 του άρθρου 27, στην κλειστή διαδικασία, κατάτις παρ. 4, 5, 6 και 7 του άρθρου 28,, καθώς και στην ανταγωνιστική διαδικασία με διαπραγμάτευση, κατά την παρ. 1 του άρθρου 29, τελευταίο εδάφιο, σε συνδυασμό με τις παρ. 3 έως 7 του άρθρου 28.",RespA
ιζ. Τον περιορισμό του αριθμού των πληρούντων τα κριτήρια επιλογής υποψηφίων που θα κληθούν να συμ-μετάσχουν στις διαδικασίες του άρθρου 84.,RespA
"ιη. Την κήρυξη του προσωρινού αναδόχου ως έκπτω-του, κατά το άρθρο 103",RespA
"ιθ. Τη χρήση συγκεκριμένων ηλεκτρονικών μέσων, κατά τις παρ. 4 και 5 του άρθρου 22, καθώς και της χρή-σης ηλεκτρονικών καταλόγων για την υποβολή προσφο-ρών κατά το άρθρο 35.",RespA
"κ. Την σύμβαση που υπογράφεται μετά την έναρξη κατασκευής ενός έργου με τους βασικούς μελετητές που μετέχουν υποχρεωτικά ως Τεχνικοί Σύμβουλοι - Μελε-
τητές στην εκτέλεση αυτού, κατά το το εδ. α. της παρ. 6 του άρθρου 188.",RespA
"κα. Την κήρυξη του αναδόχου ως έκπτωτου, κατά το
τελευταίο εδάφιο της παρ. 12 του άρθρου 138.",RespA
"κβ. Την έγκριση αποδοχής πρότασης τροποποίησης εγκεκριμένης μελέτης κατά την κατασκευή και την έγκρι- ση της νέας μελέτης που τροποποιεί την αρχική, σύμφω- να με την παρ. 2 του άρθρου 144, καθώς και την έγκριση παράτασης των προθεσμιών όλων των δημοσίων έργων αρμοδιότητάς του, κατά την παρ. 8 του άρθρου 147.",RespA
"κγ. Την έγκριση τροποποίησης της σύμβασης, κατά την περ. ε της παρ. 1 και την περ. β της παρ. 3 του άρθρου 156, , μετά από γνώμη του Τεχνικού Συμβουλίου, καθώς και την έγκριση του Ανακεφαλαιωτικού Πίνακα Εργασιών (Α.Π.Ε.) που τη συνοδεύει. Η άσκηση της αρμοδιότητας της περ. β της παρ. 1 του άρθρου 156 προϋποθέτει την έγκριση της σχετικής πίστωσης από το αρμόδιο όργανο, σύμφωνα με τα άρθρα 65 και 66 του ν. 4270/2014.",RespA
"κδ. Την έγκριση τροποποίησης της σύμβασης, εφόσον σε αυτή γίνεται χρήση του κονδυλίου των απροβλέπτων δαπανών και δεν επέρχεται αύξηση της αξίας της, κατά την περ. (α) της παρ. 3 του άρθρου 156, καθώς και την έγκριση του Ανακεφαλαιωτικού Πίνακα Εργασιών που τη συνοδεύει.",RespA
"κε. Την έγκριση των Ανακεφαλαιωτικών Πινάκων Ερ-γασιών, στους οποίους επέρχεται αύξηση της αξίας της σύμβασης, λόγω αύξησης της αναθεώρησης και εφόσον έχει εγκριθεί η σχετική πίστωση από το αρμόδιο όργανο, σύμφωνα με τα άρθρα 65 και 66 του ν. 4270/2014.",RespA
"κστ. Την έγκριση πρωτοκόλλων και πρακτικών που υποβάλλονται, κατά την εκτέλεση της σύμβασης Δη-μοσίου Έργου.",RespA
"κζ. Την έγκριση εκτέλεσης επειγουσών και απρόβλε-πτων πρόσθετων εργασιών, κατά το άρθρο 155 και των τροποποιητικών περί αυτών συμβάσεων και των Ανα- κεφαλαιωτικών Πινάκων Εργασιών που τις συνοδεύουν, καθώς και την έγκριση τροποποίησης της σύμβασης και του Α.Π.Ε. που τη συνοδεύει λόγω εκτέλεσης απολογιστι-κών εργασιών, κατά την παρ. 10 του άρθρου 154.",RespA
"κη. Την έκδοση απόφασης επί των ενστάσεων του ανα-δόχου κατά την εκτέλεση του έργου που ασκούνται κατά ειδικών διαταγών, κατά τις παρ. 4 και 8 του άρθρου 159.",RespA
"κθ. Την έγκριση ματαίωσης της διάλυσης εργολαβικής σύμβασης, κατά το άρθρο 162, και της προβλεπόμενης σε αυτό αποζημίωσης, εντός των ορίων της υπογραφό-μενης, από αυτόν ή από υποκείμενα από αυτόν όργανα, απόφασης έγκρισης της σχετικής πίστωσης.",RespA
λ. Την έγκριση μελέτης που περιέχεται στα έγγραφα της σύμβασης εκτέλεσης έργου και χωρίς αύξηση του συνολικού οικονομικού αντικειμένου της σύμβασης του έργου.,RespA
λα. Τη συγκρότηση Επιτροπών παραλαβής των έργων και άλλων επιτροπών.,RespA
