RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
4 Αυγούστου 2021 ΤΕΥΧΟΣ   ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 148982 Έγκριση του ΟΕΥ του Δήμου Νέστου Ν. Καβάλας.,Non-RespA
Ο ΣΥΝΤΟΝΙΣΤΗΣ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1. Τα άρθρα 63 65 67 69 97 224 225 226 και 280 του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοίκη-σης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικράτης» (Α’ 87). 2. Το άρθρο 116 του ν. 4555/2018 «Πρόγραμμα Κλει-σθένης Ι» (Α’ 133) και την υπό στοιχεία 42203/εγκ. 27/,Non-RespA
13-8-2018 εγκύκλιο του Υπουργείου Εσωτερικών. 3. Τα άρθρα 28 και 28Α του ν. 4325/2015 (Α’ 47) κα-θώς και την υπ’ αρ. 14138/15-05-2017 απόφαση του Υπουργού Εσωτερικών για τον διορισμό του Συντονιστή (Υ.Ο.Δ.Δ. 250). 4. Το άρθρο 10 του Κώδικα Κατάστασης Δημοτικών και Κοινοτικών Υπαλλήλων» (ν. 3584/2007 Α’ 143). 5. Την παρ. 7 β’ του άρθρου εικοστού τετάρτου της από 14.3.2020 ΠΝΠ (Α’ 64) η οποία κυρώθηκε με το άρ-θρο 3 του ν. 4682/2020 (Α’ 76) του άρθρου 10 της από 11.3.2020 ΠΝΠ (Α’ 55) η οποία κυρώθηκε με το άρθρο 2 του ν. 4682/2020 (Α’ 76) του άρθρου τεσσαρακοστού τρίτου της από 30.3.2020 ΠΝΠ (Α’ 75) η οποία κυρώθη-κε με το άρθρο 1 του ν. 4684/2020 (Α’ 86) της παρ. iii α’ της  υπό  στοιχεία  20930/εγκ.40/31-3-2020  εγκυκλί-ου του Υπουργείου Εσωτερικών και τα υπ’ αρ. 18639/,Non-RespA
