RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
17 Απριλίου 2021 ΤΕΥΧΟΣ    ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 62850  Τροποποίηση του Οργανισμού Εσωτερικής Υπη-ρεσίας του Δήμου Στυλίδας Ν. Φθιώτιδας.,Non-RespA
Ο ΣΥΝΤΟΝΙΣΤΗΣ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ,Non-RespA
ΘΕΣΣΑΛΙΑΣ - ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1. Τις διατάξεις:,Non-RespA
α) του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοί-κησης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικράτης» (Α΄ 87) και ιδίως της περ. 5 της παρ. 46 του άρθρου 1 των άρθρων 6 63 97 98 214 225 238 254 257 258 266 και 280,Non-RespA
β) του ν. 3584/2007 «Κώδικας Κατάστασης Δημοτικών και Κοινοτικών Υπαλλήλων» (Α΄ 143) και ιδίως του άρ-θρου 10,Non-RespA
γ) του ν. 3469/2006 «Εθνικό Τυπογραφείο Εφημερίς της Κυβερνήσεως και λοιπές διατάξεις» (Α΄ 131) και ιδίως της περ. θ της παρ. 2 του άρθρου 5 και της περ. β της παρ. 2 του άρθρου 7 δ) του ν. 4325/2015 «Εκδημοκρατισμός της Διοίκησης - Καταπολέμηση Γραφειοκρατίας και Ηλεκτρονική Διακυ-βέρνηση. Αποκατάσταση αδικιών και άλλες διατάξεις» (Α΄ 47) και ιδίως του άρθρου 28,Non-RespA
ε) του ν. 4368/2016 «Μέτρα για την επιτάχυνση του κυ-βερνητικού έργου και άλλες διατάξεις» (Α΄ 21) και ιδίως του άρθρου 24,Non-RespA
στ) του ν. 4479/2017 «Τροποποιήσεις του ν. 2725/1999 (Α΄ 121) και άλλες διατάξεις» (Α΄ 94),Non-RespA
