RawParagraph,RespAPrediction
E,Non-RespA
ΕΦΗΜ,Non-RespA
ΤΗΣ ΚΥΒΕ,Non-RespA
ΤΗΣ ΕΛΛΗΝΙΚΗ,Non-RespA
5 Φεβρουαρίου 2021 ΤΕΥΧΟΣ   ΑΠΟΦΑΣΕΙΣ,Non-RespA
Αριθμ. 269 Οργανισμός Εσωτερικής Υπηρεσίας του Δήμου Δίου Ολύμπου.,Non-RespA
Ο ΣΥΝΤΟΝΙΣΤΗΣ,Non-RespA
ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ,Non-RespA
ΜΑΚΕΔΟΝΙΑΣ ΘΡΑΚΗΣ,Non-RespA
Έχοντας υπόψη:,Non-RespA
1. Τις διατάξεις του ν. 3852/2010 «Νέα Αρχιτεκτονική της Αυτοδιοίκησης και της Αποκεντρωμένης Διοίκησης - Πρόγραμμα Καλλικράτης» (A΄ 87).,Non-RespA
2. Τις διατάξεις των άρθρων 8 και 24 του π.δ. 142/2010 «Οργανισμός της Αποκεντρωμένης Διοίκησης Μακεδο-νίας - Θράκης» (A΄ 235).,Non-RespA
3. Τις διατάξεις των άρθρων 10 και 163 του ν. 3584/2007 «Κώδικας Κατάστασης Δημοτικών και Κοινοτικών υπαλ-λήλων» (A΄ 143).,Non-RespA
4. Τις διατάξεις του άρθρου 10 του ν. 4024/2011 «Συ-νταξιοδοτικές ρυθμίσεις ενιαίο μισθολόγιο βαθμολόγιο εργασιακή εφεδρεία και άλλες διατάξεις εφαρμογής του μεσοπρόθεσμου πλαισίου δημοσιονομικής στρατηγικής 2012-2015 (A΄ 226).,Non-RespA
5. Τις διατάξεις των άρθρων 75 έως 80 και της παρ. 5 του άρθρου 108 του ν. 4727/2020 «Ψηφιακή Διακυ-βέρνηση (Ενσωμάτωση στην Ελληνική Νομοθεσία της Οδηγίας (ΕΕ) 2016/2102 και της Οδηγίας (ΕΕ) 2019/1024) Ηλεκτρονικές Επικοινωνίες (Ενσωμάτωση στο Ελληνικό Δίκαιο της Οδηγίας (ΕΕ) 2018/1972) και άλλες διατάξεις» (A΄ 184).,Non-RespA
